alimento,peso_crudo_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hidratos_carbono_g,fibra_g,azucar_g,carga_glicemica,cantidad_sugerida,peso_bruto_g,ag_saturados_g,ag_monoinsaturados_g,ag_poliinsaturados_g,colesterol_g,categoria,cantidad,medida,acido_folico_g,vitamina_a_g,selenio_g,calcio_g,hierro_g,sodio_g,potasio_g,fosforo_g,zinc_g,acido_ascorbico_g
Fideo deshidratado,20.0,20.0,72.0,2.0,0.1,13.3,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,20.0,cda,0.0,0.0,0.0,0.0,0.0,0.0251,0.0,0.01,0.0,0.0
Fideo seco deshidratado,20.0,20.0,73.0,1.2,0.1,16.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,20.0,cda,0.0,0.0,0.0,0.0,0.0,0.0364,0.0,0.054,0.0,0.0
Fruitcake,46.0,46.0,65.0,0.6,0.2,12.3,0.7,8.6,0.0,,,0.4,0.0,0.0,0.0,cereales,0.5,rebanada,0.0,0.0,0.0,0.0,0.0,0.010199999999999999,0.0,0.043000000000000003,0.0,0.0
Fusilli cocido,20.0,20.0,57.0,2.5,0.3,15.0,0.1,0.0,0.0,,,0.1,0.0,0.0,0.0,cereales,20.0,taza,0.0,0.0,0.0,0.0,0.0,0.0171,0.0,0.033299999999999996,0.0,0.0
Fusilli crudo,16.0,16.0,70.0,0.6,0.1,11.3,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,16.0,g,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.033,0.0,0.0
Galleta barras de higo,15.0,15.0,68.0,1.1,2.1,11.3,0.3,3.4,0.0,,,0.0,0.0,0.0,0.0,cereales,6.0,pieza,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.059500000000000004,0.0,0.0
Galleta de animalitos,15.0,15.0,50.0,0.5,0.5,12.0,0.5,7.0,0.0,,,0.0,0.0,0.0,0.0,cereales,1.0,pieza,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0
Galleta de manzana,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,1.0,pieza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Galleta dulce,16.0,16.0,64.0,1.5,1.7,10.7,0.7,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,2.0,pieza,1.1e-06,3.5e-06,0.0,0.0003,0.0152,0.0485,0.0,0.0,0.0,0.0
Galleta dulce sin relleno,16.0,16.0,64.0,1.5,1.7,10.7,0.7,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,2.0,pieza,1.1e-06,3.5e-06,0.0,0.0003,0.0152,0.0485,0.0,0.0,0.0,0.0
Galleta María,19.0,19.0,69.0,1.3,1.3,13.8,0.0,11.3,0.0,,,0.0,0.0,0.0,0.0,cereales,5.0,pieza,6.3e-06,0.0,0.0,0.0005,0.0,0.11059999999999999,0.0,0.0,0.0,0.0
Galleta para sopa,18.0,18.0,70.0,1.2,1.8,12.8,0.1,20.8,0.0,,,0.1,0.8,0.1,0.1,cereales,14.0,pieza,0.0,7.8e-06,0.0,0.0043,0.0,0.26830000000000004,0.0,0.0,0.0,0.0
Galleta salada,16.0,16.0,69.0,1.4,2.1,11.2,0.4,0.0,0.0,,,0.5,1.2,0.0,0.0,cereales,4.0,pieza,1.1e-06,7.4e-06,0.0,0.0035,0.0,0.176,0.0,0.0,0.0,0.0
Galleta salada integral,15.0,15.0,65.0,1.3,1.9,10.5,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,4.0,pieza,1.1e-06,7e-06,0.0,0.0,0.0,0.165,0.0,0.0,0.0,0.0
Galletas salada molida pasas,15.0,15.0,61.0,1.3,2.0,9.5,1.3,4.7,0.0,,,0.0,0.0,0.0,0.0,cereales,2.5,cda,0.0,0.0,0.0,0.0,0.0,0.057,0.0,0.0,0.0,0.0
Galletas de avena PASAS,18.0,18.0,64.0,1.4,0.6,13.0,1.4,1.4,0.0,,,0.1,0.4,0.0,0.0,cereales,1.5,pieza,6.3e-06,3.28e-05,0.0,0.0022,0.0,0.11059999999999999,0.0,0.0,0.0,0.0
Galletas de maíz horneadas sin grasa (Usa Marías),19.0,19.0,69.0,1.0,1.5,11.5,0.0,3.5,0.0,,,0.0,0.0,0.0,0.0,cereales,3.0,pieza,3.13e-05,0.0,0.0,0.0,0.0,0.098,0.0,0.0,0.0,0.0
Galletas Marías azucaradas,19.0,19.0,69.0,1.3,1.3,13.8,0.1,11.3,0.0,,,0.0,0.0,0.0,0.0,cereales,5.0,pieza,3.13e-05,0.0,0.0,0.0,0.0,0.11059999999999999,0.0,0.0,0.0,0.0
Gluten de trigo,18.0,18.0,68.0,7.5,0.3,8.5,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,3.0,cda,0.0,0.0,0.0,0.0,0.0,0.0252,0.0,0.0,0.0,0.0
Granola baja en grasa,18.0,18.0,70.0,1.5,1.1,14.4,0.7,4.4,0.0,,,0.2,0.3,0.0,0.0,cereales,3.0,cda,3.6700000000000004e-05,7e-06,0.0,0.0,0.0,0.0367,0.0,0.0,0.0,0.0
"Granola con fruta seca, baja en grasa",20.0,20.0,76.0,1.9,2.0,12.4,0.5,4.9,0.0,,,1.1,0.0,0.0,0.0,cereales,3.0,cda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Granola Quaker Sabor Pasas y Miel,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,0.6666666666666666,taza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Habaneras arándano ciruela,18.0,18.0,71.0,1.3,2.2,11.5,1.1,0.8,0.0,,,0.0,0.0,0.0,0.0,cereales,2.0,pieza,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.0
Habaneras Bran Trigo Entero,18.0,18.0,72.0,1.7,2.4,11.0,1.1,0.8,0.0,,,0.0,0.0,0.0,0.0,cereales,2.0,pieza,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0
Habaneras Bran Trigo Entero,18.0,18.0,72.0,1.7,2.4,11.0,1.1,0.8,0.0,,,0.0,0.0,0.0,0.0,cereales,4.0,g,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0
Habaneras clásicas,18.0,18.0,74.0,1.6,1.4,13.8,0.7,0.4,0.0,,,0.0,0.0,0.0,0.0,cereales,4.0,g,0.0,0.0,0.0,0.0,0.0,0.12919999999999998,0.0,0.0,0.0,0.0
Habaneras clásicas,18.0,18.0,69.0,1.9,1.6,11.9,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,4.0,g,0.0,0.0,0.0,0.0,0.0,0.0216,0.0,0.0,0.0,0.0
Habaneras integrales,18.0,18.0,73.0,2.1,0.2,15.3,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,4.0,g,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0
Hagen integrales,20.0,20.0,68.0,1.2,0.3,16.3,0.1,0.2,0.0,,,0.0,0.0,0.0,0.0,cereales,1.0,pieza,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0
Harina blanca,20.0,20.0,73.0,2.1,0.2,15.1,0.1,0.1,0.0,,,0.0,0.0,0.0,0.0,cereales,2.5,cda,0.0,0.0,0.0,0.0,0.0,0.0665,0.0,0.0,0.0,0.0
Harina blanca refinada,20.0,20.0,75.0,2.3,0.3,14.9,0.3,0.3,0.0,,,0.0,0.0,0.0,0.0,cereales,2.5,cda,0.0,0.0,0.0,0.0,0.0,0.0155,0.0,0.0,0.0,0.0
Harina de arroz,16.0,16.0,65.0,1.5,0.3,10.9,0.3,0.1,0.0,,,0.0,0.0,0.0,0.0,cereales,2.0,cda,0.0,0.0,0.0,0.0,0.0,0.0021000000000000003,0.0,0.0,0.0,0.0
Harina de avena,18.0,18.0,62.0,2.2,0.3,10.5,0.3,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,2.0,cda,0.0,0.0,0.0,0.0,0.0,0.0088,0.0,0.0,0.0,0.0
Harina de cebada,20.0,20.0,69.0,2.1,0.3,13.6,0.3,0.2,0.0,,,0.0,0.0,0.0,0.0,cereales,2.0,cda,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0
Harina de centeno,18.0,18.0,63.0,2.1,0.3,13.6,0.5,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,2.5,cda,0.0,0.0,0.0,0.0,0.0,0.0368,0.0,0.0,0.0,0.0
Harina de centeno integral,,20.0,65.0,2.8,0.5,13.8,4.5,0.0,0.0,,,0.1,0.1,0.2,0.2,cereales,1.0,cda,0.0,0.0,0.0,0.012,0.011300000000000001,0.0013000000000000002,0.1459,0.039700000000000006,0.0,0.0
Harina de maíz,,18.0,65.0,1.7,0.7,13.6,1.7,0.0,0.0,,,0.2,0.2,0.3,0.3,cereales,1.0,cda,0.0,0.0,0.0,0.004200000000000001,0.0252,0.0013000000000000002,0.0531,0.039700000000000006,0.0,0.0
Harina de maíz nixtamalizada,,18.0,65.0,1.7,0.7,13.6,1.7,0.0,0.0,,,0.2,0.2,0.3,0.3,cereales,1.0,cda,0.0,0.0,0.0,0.004200000000000001,0.0252,0.0013000000000000002,0.0531,0.0,0.0,0.0
Harina de maíz para atole,,15.0,60.0,1.2,0.8,11.8,0.2,0.2,0.0,,,0.2,0.2,0.3,0.3,cereales,1.0,cda,0.0,0.0,0.0,0.0,0.0053,0.0,0.0194,0.0,0.0,0.0
Harina de maíz para masa,,14.0,62.0,1.4,0.7,12.7,0.1,0.1,0.0,,,0.0,0.0,0.2,0.2,cereales,1.0,cda,0.0,0.0,0.0,0.0067,0.0194,0.0005,0.0,0.033299999999999996,0.0,0.0
Harina de papas,,18.0,65.0,1.9,0.3,14.1,0.1,0.1,0.0,,,0.0,0.0,0.0,0.0,cereales,1.0,cda,0.0,0.0,0.0,0.0,0.0063,0.002,0.2977,0.0,0.0,0.0
Harina de quinoa,,24.0,86.0,3.4,0.9,18.0,2.6,0.0,8.0,,,0.0,0.0,0.0,0.0,cereales,1.0,cda,0.0,0.0,0.0,0.005200000000000001,0.0083,0.0,0.0211,0.041,0.0,0.0
Harina de tapioca,,20.0,73.0,0.0,0.0,18.9,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,1.0,cda,0.0,0.0,0.0,0.0,0.0009000000000000001,0.0,0.0005,0.0,0.0,0.0
Harina de trigo,,19.0,64.0,2.6,0.3,12.4,0.3,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,1.0,cda,0.0,0.0,0.0,0.0023,0.0064,0.0007,0.07590000000000001,0.1264,0.0,0.0
Harina de trigo integral,,19.0,64.0,2.8,0.5,13.6,4.5,0.0,0.0,,,0.1,0.0,0.1,0.1,cereales,1.0,cda,0.0,0.0,0.0,0.012,0.011300000000000001,0.0013000000000000002,0.1459,0.0648,0.0,0.0
Harina integral de trigo,,19.0,64.0,2.6,0.3,13.6,2.3,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,1.0,cda,0.0,0.0,0.0,0.0023,0.0064,0.0007,0.07590000000000001,0.0648,0.0,0.0
Harina Kamut,2.0,18.0,68.0,2.7,0.5,13.1,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,1.0,cda,0.0,0.0,0.0,0.0249,0.0007,0.0366,0.0,0.0,0.0,0.0
Harina nixtamalizada,2.5,18.0,67.0,1.3,0.8,13.8,0.2,0.2,0.0,,,0.0,0.0,0.0,0.0,cereales,1.0,cda,0.0,2e-07,0.0,0.0,0.0002,0.0366,0.0,0.0185,0.0,0.0
Harina para brownies,1.5,13.0,60.0,0.7,2.3,9.0,0.7,0.7,0.0,,,0.2,0.0,0.0,0.0,cereales,1.0,cda,0.0,0.0,0.0,0.0,0.0005,0.0,0.0514,0.2436,0.0,0.0
Harina para brownies baja en grasas,2.0,18.0,61.0,0.9,1.2,12.6,0.2,0.2,0.0,,,0.2,0.0,0.0,0.0,cereales,1.0,cda,0.0,0.0,0.0,0.0,0.0,0.056100000000000004,0.12240000000000001,0.0,0.0,0.0
Harina para hot cakes,2.0,18.0,61.0,1.7,0.2,13.3,0.0,0.1,0.0,,,0.0,0.0,0.0,0.0,cereales,1.0,cda,0.0,0.0,0.0,0.006,0.005,0.0185,0.2436,0.12240000000000001,0.0,0.0
Harina para repostería,2.0,16.0,60.0,1.4,0.7,12.7,0.2,0.2,0.0,,,6.1,0.0,0.0,0.0,cereales,1.0,cda,0.0,0.0,0.0,0.013900000000000001,0.0005,0.125,0.27,0.149,0.0,0.0
Harina para tamales,9.0,20.0,69.0,1.6,0.3,16.0,0.0,0.0,0.0,,,0.1,0.4,0.0,0.0,cereales,1.0,pieza,0.0,0.0,0.0,0.0025,0.0014,0.19419999999999998,0.149,0.149,0.0,0.0
"Hojuelas de trigo con entrelazados de miel, maple y azúcar",1.0,14.0,59.0,1.1,1.2,11.3,0.1,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,1.0,cda,0.0,0.0,0.0,0.0050999999999999995,0.0038,0.0873,0.0,0.0,0.0,0.0
Hojuelas de 7 fibras,1.0,61.0,71.0,1.7,1.1,14.3,0.3,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,1.0,taza,0.0,0.0,0.0,0.056600000000000004,0.0021000000000000003,0.1257,0.0,0.0,0.0,0.0
Hojuelas de avena instantáneas con pasas y especias. Preparado,62.0,62.0,62.0,1.3,0.7,12.5,1.0,0.0,0.0,,,0.1,0.2,0.2,0.2,cereales,0.25,taza,0.0,0.0,0.0,0.0429,0.0015,0.093,0.0,0.0,0.0,0.0
"Hojuelas de avena instantáneas con miel, maple y azúcar morena. Preparado",59.0,59.0,60.0,1.4,0.8,11.8,1.1,0.0,0.0,,,0.1,0.3,0.2,0.2,cereales,0.25,taza,0.0047,0.0,0.0,0.0409,0.0014,0.09590000000000001,0.0,0.0,0.0,0.0
"Hojuelas de avena, frutas y nueces",21.0,21.0,72.0,2.1,1.1,16.5,1.6,0.0,0.0,,,0.2,0.5,0.3,0.3,cereales,0.25,taza,0.00015769999999999998,0.0,0.0,0.0,0.0019,0.049,0.0,0.05670000000000001,0.0,0.0
Hojuelas de cereales con fruta seca,18.0,18.0,70.0,1.3,1.0,14.0,1.0,0.0,0.0,,,0.0,0.3,0.3,0.3,cereales,0.3333333333333333,taza,3.3299999999999996e-05,0.0,0.0,0.0,0.0015,0.0833,0.0,0.0833,0.0,0.0
Hojuelas de cereales con frutas secas,18.0,18.0,70.0,1.3,1.0,14.0,1.0,0.0,15.0,,,0.0,0.3,0.3,0.3,cereales,0.3333333333333333,taza,3.3299999999999996e-05,0.0,0.0,0.0,0.0015,0.0833,0.0,0.0833,0.0,0.0
Hojuelas de maíz azucaradas,19.0,19.0,67.0,1.4,0.1,15.8,0.6,0.0,0.0,,,0.0,0.1,0.0,0.0,cereales,0.75,taza,0.00010929999999999999,5.4e-06,0.0,0.0315,0.0019,0.1367,0.0,0.2196,0.0,0.0
Hojuelas de maíz y trigo con fruta y nueces,13.0,13.0,52.0,0.7,0.1,12.0,0.3,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,0.3333333333333333,taza,0.0001065,0.0,0.0,0.0087,0.0016,0.1197,0.0,0.0,0.0,0.0
Hojuelas de papá para puré,20.0,20.0,70.0,1.7,0.5,16.2,1.3,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,20.0,g,9.199999999999998e-06,0.0,0.0,0.0054,0.0026000000000000003,0.0732,0.0,0.0,0.0,0.0
Hojuelas de salvado con pasas,21.0,21.0,71.0,1.8,0.4,15.8,2.3,0.0,0.0,,,0.1,0.1,0.1,0.1,cereales,0.3333333333333333,taza,0.0001499,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0
Hojuelas de trigo,18.0,18.0,59.0,1.8,0.3,14.1,0.3,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,0.5,taza,0.0,0.0,0.0,0.007200000000000001,0.0008,0.1806,0.0,0.0,0.0,0.0
Hojuelas de trigo con miel,18.0,18.0,62.0,1.6,0.4,14.3,0.1,0.1,0.0,,,0.1,0.1,0.1,0.1,cereales,0.5,taza,0.0,9.4e-06,0.0,0.0119,0.0081,0.075,0.1013,0.23190000000000002,0.0,0.0
Hojuelas de trigo integral,16.0,16.0,59.0,3.5,0.3,11.0,0.2,0.2,0.0,,,0.2,0.2,0.1,0.1,cereales,0.5,taza,0.0,1.05e-05,0.0,0.045,0.0045000000000000005,0.0,0.012,0.0,0.0,0.0
Hojuelas de trigo integral con frutos rojos,16.0,16.0,57.0,1.9,0.2,12.5,0.1,0.1,0.0,,,0.1,0.1,0.1,0.1,cereales,0.5,taza,0.0,1.05e-05,0.0,0.0095,0.0040999999999999995,0.0,0.11,0.0,0.0,0.0
Hojuelas de trigo integral con chispas de yogurt,19.0,19.0,64.0,2.1,1.0,14.7,0.6,0.1,0.0,,,0.1,0.1,0.3,0.3,cereales,0.5,taza,0.0,2e-06,0.0,0.012,0.0015,0.0,0.0783,0.0,0.0,0.0
Hojuelas de trigo integral con fibra extra,26.0,26.0,50.0,3.8,1.2,26.0,0.3,0.3,0.0,,,0.3,0.3,0.8,0.8,cereales,0.5,taza,0.0,0.00014,0.0,0.0,0.0608,0.0,1.612,0.0,0.0,0.0
Hojuelas de trigo integral con frutas y yoghourt,15.0,15.0,57.0,1.0,0.4,11.6,0.2,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,0.5,taza,0.0,3.2999999999999997e-06,0.0,0.0,0.0021000000000000003,0.0,0.0639,0.0,0.0,0.0
Hojuelas de trigo negro con frutas y yoghourt,59.0,59.0,54.0,2.0,0.4,11.7,0.1,0.5,0.0,,,0.1,0.0,0.3,0.3,cereales,0.3333333333333333,taza,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
"Hojuelas fortificadas de trigo entero, avena, leche y almendras, pasas y miel",15.0,15.0,58.0,1.5,1.3,14.0,0.1,0.3,25.0,,,0.0,0.0,0.0,0.0,cereales,0.25,taza,0.0,0.0,0.0,0.0,0.0,0.0755,0.0,0.0,0.0,0.0
Hojuelas de avena instantáneas con manzana y canela,79.0,79.0,69.0,1.4,0.8,14.0,0.1,0.3,0.0,,,0.0,0.0,0.0,0.0,cereales,0.3333333333333333,taza,0.0,5.8099999999999996e-05,0.0,0.0,0.002,0.0872,0.0,0.0,0.0,0.0
Hot cake,38.0,38.0,72.0,2.5,2.3,15.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,0.75,pieza,0.0,8.19e-05,0.0,0.004900000000000001,0.001,0.1648,0.0,0.0592,0.0,0.0
Kamut trigo de Jorasán cocido,54.0,54.0,68.0,3.1,0.5,14.6,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,0.3333333333333333,taza,0.0,5.2e-06,0.0,0.005,0.0004,0.0394,0.0,0.0,0.0,0.0
Lasaña cruda,20.0,20.0,68.0,1.9,0.1,14.6,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,20.0,g,0.0,5.2e-06,0.0,0.005,0.0004,0.0394,0.0,0.0,0.0,0.0
Linaza,,48.0,256.0,8.8,20.2,13.9,13.1,0.7,0.0,,,1.8,3.6,13.8,13.8,cereales,4.0,cda,0.0,0.0,9.999999999999999e-06,0.12240000000000001,0.0028,0.014400000000000001,0.0,0.0,0.0,0.0
Maca cocido,,18.0,64.0,2.3,0.2,12.4,1.2,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,2.0,cda,0.0,0.0,0.0,0.0855,0.0005,0.0014,0.0417,0.0417,0.0,0.0
Macarrón crudo,47.0,,58.0,2.5,0.3,14.6,1.3,0.0,0.0,,,0.0,0.0,0.1,0.1,cereales,0.3333333333333333,taza,0.0,0.0,0.0,0.007,0.007,0.0207,0.0,0.0,0.0,0.0
Macarrón integral cocido,,20.0,60.0,2.0,0.3,14.4,2.2,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,20.0,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maicena,,16.0,67.0,0.0,0.1,13.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,0.3333333333333333,taza,0.0,0.0,0.0,0.0023,0.0,0.0,0.0,0.0,0.0,0.0
Maicena de sabor,,18.0,67.0,0.0,0.1,13.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,2.0,cda,0.0,0.0,0.0,0.0023,0.0,0.0,0.0,0.0,0.0,0.0
Maíz,,20.0,67.0,2.2,0.9,13.7,2.2,0.0,0.0,,,0.1,0.1,0.2,0.2,cereales,20.0,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maíz amarillo,,20.0,67.0,2.2,1.5,13.3,2.2,0.0,0.0,,,0.2,0.1,0.2,0.2,cereales,20.0,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maíz amarillo cocido,,20.0,68.0,2.2,0.9,13.0,2.2,0.0,0.0,,,0.2,0.1,0.2,0.2,cereales,20.0,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maíz azul,,25.0,67.0,2.2,0.9,14.2,2.4,0.0,0.0,,,0.3,0.2,0.2,0.2,cereales,25.0,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maíz blanco cocido,,20.0,60.0,1.8,0.4,14.4,3.4,0.0,0.0,,,0.4,0.4,0.3,0.3,cereales,20.0,g,0.0,0.0,0.0,0.055700000000000006,0.0,0.0,0.1348,0.0,0.0,0.0
Maíz cacahuacinte,,16.0,58.0,0.0,0.0,14.4,1.1,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,0.3333333333333333,taza,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
Maíz palomero,,16.0,60.0,0.0,0.0,14.4,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,2.0,cda,0.0,0.0,0.0,0.0003,0.0,0.0,0.3558,0.0,0.0,0.0
Maiz pozolero,,16.0,60.0,0.0,0.0,15.9,2.5,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,2.0,cda,0.0,0.0,0.0,0.0259,0.0003,0.0,0.0506,0.0,0.0,0.0
Maizena,,16.0,54.0,0.0,0.0,14.4,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,2.0,cda,0.0,0.0,0.0,0.0027,0.0,0.0,0.0132,0.0,0.0,0.0
Malanga,,70.0,67.0,0.9,0.1,15.9,2.5,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,70.0,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marías,19.0,19.0,75.0,1.4,1.4,14.3,0.4,3.5,0.0,,,0.7,0.4,0.3,0.3,cereales,5.0,pieza,2.61e-05,3.3799999999999995e-05,0.0,0.0011,0.0011,0.1125,0.0,0.0125,0.0,0.0
Marías Cerealé fresa,15.0,15.0,66.0,1.1,2.1,10.7,1.4,8.0,0.0,,,0.7,0.7,0.3,0.3,cereales,1.5,pieza,0.0,0.0,0.0,0.0,0.0,0.0638,0.0,0.0638,0.0,0.0
Marinela Sponch,20.0,20.0,80.0,1.3,1.3,14.7,0.0,0.0,0.0,,,0.1,0.2,0.0,0.0,cereales,1.0,pieza,0.0,0.0,0.0,0.0,0.0,0.0267,0.0,0.0267,0.0,0.0
Masa de maíz,45.0,45.0,69.0,1.6,0.9,14.3,1.5,0.0,0.0,,,0.1,0.2,0.4,0.4,cereales,45.0,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Masa de maíz amarillo,35.0,35.0,66.0,1.5,0.8,13.5,1.2,0.0,0.0,,,0.1,0.2,0.5,0.5,cereales,35.0,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Masa de maíz blanco,45.0,45.0,69.0,1.6,0.9,14.3,1.5,0.0,0.0,,,0.1,0.2,0.5,0.5,cereales,45.0,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Masa de pizza,27.0,27.0,70.0,2.7,0.9,13.5,0.5,1.1,0.0,,,0.2,0.2,0.0,0.0,cereales,3.0,cda,0.0,0.0,0.0,0.0,0.0,0.1566,0.0,0.0,0.0,0.0
Masa para tortillas,45.0,45.0,69.0,1.6,0.9,14.3,1.5,0.0,0.0,,,0.1,0.2,0.5,0.5,cereales,45.0,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Masa para Yucatán,40.0,40.0,69.0,1.8,0.9,14.6,1.4,0.0,0.0,,,0.2,0.2,0.5,0.5,cereales,40.0,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Media Noche,22.0,22.0,55.0,2.0,1.0,10.5,0.5,0.1,0.0,,,0.0,0.0,0.0,0.0,cereales,22.0,g,0.0,1.6e-06,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0
Media Noche con ajo,22.0,22.0,55.0,2.0,1.0,10.5,0.5,0.1,0.0,,,0.0,0.0,0.0,0.0,cereales,0.5,pieza,0.0,1.2e-06,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0
Mijo cocido,57.0,57.0,68.0,2.0,0.6,13.6,0.8,3.0,0.0,,,0.1,0.3,0.3,0.3,cereales,0.3333333333333333,taza,0.0,0.0,0.0,0.0,0.0,0.001,0.0673,0.21880000000000002,0.0,0.0
Mijo crudo,15.0,15.0,57.0,1.7,0.6,10.9,1.3,0.6,0.0,,,0.1,0.3,0.0,0.0,cereales,15.0,g,0.0,0.0,0.0,0.0,0.0,0.001,0.0111,0.0375,0.0,0.0
Mini chapata,35.0,35.0,88.0,3.7,1.6,18.1,1.5,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,1.0,pieza,0.0,0.0,0.0,0.0,0.0,0.0871,0.0,0.0,0.0,0.0
Mueslix con manzana y almendra,18.0,18.0,68.0,1.7,0.9,13.2,1.5,0.0,0.0,,,0.1,0.1,0.0,0.0,cereales,0.25,taza,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0
Nixtamal,45.0,45.0,69.0,1.0,0.9,14.3,0.5,0.0,0.0,,,0.1,0.0,0.0,0.0,cereales,45.0,g,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0
Nutrigraín de fresa,19.0,19.0,69.0,1.5,1.0,13.0,6.5,0.0,0.0,,,0.7,0.0,0.0,0.0,cereales,0.5,pieza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nutrigraín sabor fresa,19.0,19.0,69.0,1.0,1.5,13.0,6.5,0.0,0.0,,,0.7,0.0,0.0,0.0,cereales,0.5,pieza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oblea,17.0,17.0,67.0,1.4,1.4,12.3,0.5,0.5,0.0,,,0.0,0.0,0.0,0.0,cereales,0.5,bolsa,0.0,0.0,0.0,0.0,0.0,0.099,0.0,0.0,0.0,0.0
Obleas con pepita,86.0,86.0,66.0,1.9,0.1,15.1,0.4,0.0,0.0,,,0.0,0.0,0.0,0.0,cereales,200.0,g,0.0,0.0,0.0,0.0198,0.0004,0.7018,0.0,0.0,0.0,0.0
